X,Y,Z,t
0.681,-0.96,1.056,10
0.717,-1.071,0.778,20
0.61,-1.102,-0.195,20
0.342,-0.681,-1.279,10
0.343,-0.303,-2.151,20
0.377,-0.1,-2.625,10
0.339,0.047,-2.466,20
0.305,0.077,-1.151,10
0.24,-0.275,-0.208,20
-0.024,-0.661,-0.187,20
-0.332,-0.629,-0.72,10
-0.437,-0.118,-1.096,20
-0.186,0.203,-1.228,10
-0.133,0.493,-1.174,20
-0.085,0.65,-0.815,10
-0.008,0.137,-0.389,20
-0.11,-0.427,-0.281,20
-0.306,-0.557,-0.287,10
-0.413,-0.57,-0.086,20
-0.372,-0.582,0.197,10
-0.093,-0.593,0.315,21
0.156,-0.499,0.525,19
0.175,-0.242,1.162,10
0.02,-0.149,1.666,21
-0.154,-0.168,1.603,9
-0.207,-0.186,1.408,20
-0.083,-0.133,1.543,11
0.028,-0.223,1.734,19
-0.146,-0.132,1.939,20
-0.373,-0.153,2.056,10
-0.439,-0.207,1.816,20
-0.568,-0.048,1.565,20
-0.683,0.128,1.236,10
-0.615,0.046,0.664,10
-0.484,-0.44,0.356,20
-0.47,-1.396,0.562,19
-0.734,-2.152,0.644,11
-1.143,-1.972,0.166,20
-1.235,-0.981,-0.677,9
-0.732,-0.228,-1.334,20
-0.177,0.242,-1.717,21
0.288,0.424,-1.752,9
0.708,0.175,-1.508,21
0.809,-0.083,-1.013,10
0.625,-0.074,-0.532,19
0.287,0.139,-0.651,11
0.223,0.228,-0.896,19
0.201,0.206,-1.117,20
0.25,0.185,-1.419,10
0.294,0.27,-1.553,20
0.368,0.45,-1.363,10
0.365,0.611,-1.296,20
0.191,0.826,-1.407,11
0.31,1.054,-1.542,20
0.589,1.224,-1.388,20
0.668,1.446,-0.698,10
0.601,1.267,-0.042,20
0.437,0.796,0.134,10
0.049,0.199,0.224,20
-0.369,-0.854,0.684,9
0.184,0.437,0.926,20
0.304,0.807,1.213,21
0.687,0.519,1.574,9
0.929,0.364,1.934,20
0.525,0.431,2.016,11
-0.043,0.698,1.676,30
-0.384,0.594,1.75,9
-0.104,0.327,2.23,10
0.871,-0.98,2.214,30
1.197,-1.503,1.958,20
1.078,-1.628,2.003,11
0.315,-1.017,1.251,20
-0.336,-0.674,0.161,20
-0.337,-0.71,-0.854,10
-0.062,-0.949,-1.251,20
0.047,-1.13,-1.264,10
-0.129,-1.086,-1.103,20
-0.323,-0.667,-0.958,10
-0.394,-0.29,-1.173,19
-0.389,-0.02,-1.641,20
-0.385,0.188,-2.098,11
-0.484,0.583,-2.474,19
-0.505,0.732,-2.33,10
-0.351,0.521,-1.959,30
-0.212,0.262,-1.625,10
-0.087,0.27,-1.394,10
-0.01,0.588,-1.22,20
0.025,0.839,-1.236,11
0.091,0.859,-1.112,20
0.116,0.669,-0.691,10
0.208,0.292,-0.173,19
0.256,0.194,0.188,21
0.127,0.381,0.41,17
-0.091,0.722,0.576,12
-0.151,0.926,1.001,11
-0.033,0.764,1.625,20
0.004,0.481,2.083,10
0.038,0.364,2.599,19
-0.068,0.189,3.028,21
-0.406,0.343,3.208,9
-0.469,0.619,3.06,20
-0.077,0.557,2.892,10
0.55,0.053,2.74,20
0.702,-0.71,2.363,11
-0.022,-1.19,1.54,19
-0.813,-1.313,0.145,20
-1.111,-1.181,-1.317,10
-1.172,-0.684,-2.391,20
-0.917,-0.167,-2.911,11
-0.377,-0.013,-2.758,20
0.211,-0.322,-2.171,19
0.569,-0.875,-1.161,15
0.547,-1.167,-0.459,15
0.251,-1.05,-0.344,10
-0.256,-0.669,-0.689,25
-0.403,-0.499,-1.241,5
-0.224,-0.518,-1.599,20
-0.133,-0.432,-1.612,21
-0.051,-0.354,-1.485,9
-0.046,-0.25,-1.336,20
-0.041,0.36,-1.168,10
0.169,0.876,-0.982,20
0.428,1.03,-0.85,10
0.592,0.927,-0.558,20
0.567,0.799,0.014,21
0.269,0.616,0.427,9
0.104,0.52,0.591,20
0.163,0.364,0.738,10
0.319,-0.016,1.389,21
0.563,-0.359,2.491,9
0.575,-0.495,3.345,21
-0.722,0.553,2.666,29
-0.305,0.567,1.537,21
0.379,0.165,1.383,10
0.789,-0.299,1.969,19
1.228,-1.165,2.427,21
1.07,-1.6,2.253,9
0.274,-1.164,1.304,21
-0.339,-0.565,-0.205,10
-0.27,-0.164,-1.356,19
0.204,-0.113,-1.393,10
0.735,-0.412,-0.737,20
0.696,-0.509,-0.077,21
0.282,-0.285,0.102,9
-0.056,-0.188,-0.252,20
-0.292,-0.203,-1.088,10
-0.435,-0.011,-2.014,20
-0.529,0.403,-2.674,11
-0.545,0.604,-2.683,30
-0.456,0.44,-2.345,9
-0.41,0.12,-2.18,10
-0.404,0.246,-2.1,20
-0.294,0.601,-1.89,10
-0.024,0.713,-1.666,20
0.047,0.883,-1.293,10
0.008,1.105,-0.681,20
0.248,0.925,-0.095,20
0.499,0.35,0.258,11
0.415,0.315,0.542,19
0.028,0.525,0.661,10
-0.387,0.679,0.594,20
-0.521,0.715,0.811,20
-0.227,0.884,1.488,10
-0.17,0.899,1.822,20
-0.291,0.809,1.847,11
-0.434,0.97,1.903,20
-0.529,1.149,1.851,9
-0.545,1.309,1.597,21
-0.352,1.247,1.471,19
0.13,1.054,1.876,10
0.496,0.362,2.171,20
0.309,-0.501,2.367,10
-0.48,-1.278,1.82,20
-1.259,-1.805,0.225,10
-1.65,-1.659,-1.348,20
-1.658,-0.941,-2.041,20
-1.147,-0.192,-1.871,10
-0.377,0.067,-1.477,15
0.142,-0.076,-1.019,16
0.404,-0.482,-0.538,20
0.57,-0.744,-0.208,10
0.548,-0.704,-0.187,20
0.527,-0.634,-0.582,20
0.509,-0.57,-1.145,10
0.458,-0.444,-1.513,19
0.481,-0.607,-1.913,11
0.33,-0.408,-2.308,20
0.159,0.149,-2.525,19
0.143,0.72,-2.41,10
0.266,1.2,-2.066,21
0.309,1.424,-1.48,9
0.416,1.213,-0.815,21
0.408,0.712,-0.423,9
0.126,0.641,-0.036,20
-0.23,0.853,0.311,21
-0.448,0.94,0.522,9
-0.266,0.88,0.745,21
0.243,0.827,1.464,9
0.494,0.537,1.972,20
0.272,0.276,2.189,11
-0.271,0.525,2.383,19
-0.52,1.162,2.352,20
0.117,0.804,2.565,10
0.761,-0.034,3.17,21
0.719,-0.617,3.06,9
0.578,-1.106,2.271,21
0.727,-1.582,1.734,19
0.827,-1.734,1.457,10
0.468,-1.492,0.76,21
0.111,-1.308,-0.625,9
-0.003,-1.315,-1.666,20
-0.071,-1.321,-2.086,10
-0.03,-1.258,-1.877,20
-0.061,-1.236,-1.551,20
-0.296,-1.009,-1.086,10
-0.508,-0.597,-0.736,21
-0.526,-0.503,-0.766,10
-0.577,-0.418,-1.206,19
-0.691,-0.135,-1.706,11
-0.622,0.015,-1.777,19
-0.422,0.083,-1.358,21
-0.242,0.143,-1.084,9
-0.114,0.129,-1.044,20
0.034,0.219,-0.837,10
0.134,0.335,-0.649,21
0.19,0.543,-0.481,9
0.24,0.523,-0.364,20
0.284,0.367,-0.19,20
0.325,0.262,0.242,10
0.396,0.373,0.666,20
0.149,0.681,0.53,10
-0.037,0.785,0.408,21
0.069,0.569,0.988,20
0.166,0.477,1.786,9
0.252,0.533,2.434,20
0.434,0.169,2.708,10
0.253,-0.019,2.437,20
-0.323,0.292,1.573,11
-0.739,0.918,0.967,19
-0.906,1.481,0.319,20
-0.609,1.333,0.253,11
0.106,0.372,0.986,19
0.302,-0.733,1.887,10
-0.141,-1.349,1.767,20
-0.816,-1.559,0.28,10
-1.183,-1.368,-1.298,20
-1.237,-0.749,-2.272,21
-0.837,-0.226,-2.493,10
-0.064,-0.238,-1.761,19
0.562,-0.455,-0.516,10
0.678,-0.685,0.397,20
0.61,-0.824,0.633,11
0.342,-0.948,0.087,19
0.067,-0.853,-0.783,20
0.026,-0.595,-1.428,10
0.23,-0.26,-1.837,20
0.276,0.11,-2.067,10
0.283,0.202,-1.929,20
0.22,0.216,-1.874,21
0.198,0.367,-1.721,9
0.316,0.641,-1.308,21
0.388,0.887,-0.901,9
0.314,1.108,-0.845,21
0.214,1.308,-0.968,9
0.089,1.384,-0.836,20
-0.126,1.176,-0.27,21
-0.251,0.852,0.273,9
-0.157,0.767,0.797,20
0.168,0.759,1.476,10
0.358,0.579,1.984,20
0.184,0.315,2.475,10
-0.454,0.111,2.813,20
-1.098,0.341,2.773,20
-0.954,0.169,2.461,10
-0.341,-0.295,2.422,21
0.14,-0.748,2.559,10
0.402,-0.777,2.096,19
0.776,-0.837,1.473,11
1.043,-1.133,0.946,19
0.594,-0.916,0.128,21
0.017,-0.617,-0.953,9
-0.087,-0.487,-1.754,21
0.127,-0.576,-1.889,9
0.425,-0.759,-1.493,20
0.417,-0.546,-1.137,20
0.203,-0.112,-0.954,10
-0.058,0.036,-0.928,20
-0.328,-0.035,-0.904,10
-0.605,-0.032,-1.124,20
-0.614,0.212,-1.632,10
-0.414,0.156,-1.606,20
-0.304,-0.065,-1.136,20
-0.308,-0.335,-0.815,10
-0.312,-0.473,-0.665,20
-0.315,-0.288,-0.667,11
-0.111,0.119,-0.945,20
0.141,0.383,-1.23,9
0.333,0.551,-1.382,21
0.438,0.772,-1.348,19
0.463,0.764,-1.006,10
0.313,0.687,-0.388,21
0.109,0.618,-0.108,9
0.098,0.694,-0.063,20
0.157,0.763,0.287,21
0.142,0.859,0.948,9
0.093,0.911,1.715,30
-0.019,0.578,2.543,21
-0.465,0.314,3.289,10
-1.143,-0.165,3.201,20
-1.752,-0.114,2.605,19
-1.715,0.379,1.931,11
-0.923,0.617,1.565,20
0.031,0.073,1.788,10
0.372,-1.071,2.126,19
-0.009,-1.654,1.845,10
-0.594,-1.523,0.626,21
-0.845,-0.991,-1.022,20
-0.553,-0.375,-2.264,10
-0.05,0.041,-2.555,20
0.368,0.037,-2.23,10
0.503,-0.276,-1.456,19
0.419,-0.559,-0.586,11
0.273,-0.744,-0.079,19
0.073,-0.773,-0.278,21
-0.036,-0.523,-1.078,9
0.07,-0.402,-1.694,20
0.166,-0.327,-1.835,11
0.115,-0.295,-1.651,20
0.207,-0.162,-1.279,20
0.393,0.164,-1.151,10
0.492,0.527,-1.243,20
0.615,0.646,-1.36,10
0.657,0.788,-1.224,19
0.591,0.882,-0.722,11
0.359,0.552,-0.236,20
0.082,0.325,-0.109,19
-0.098,0.396,0.073,10
0.049,0.528,0.514,21
0.286,0.544,1.049,10
0.464,0.49,1.633,19
0.383,0.234,1.918,10
-0.034,0.038,2.071,20
-0.789,0.414,1.967,20
-0.71,0.545,1.598,10
0.36,-0.44,2.783,30
0.772,-0.913,2.987,20
1.143,-1.201,2.757,20
1.305,-1.184,2.447,10
1.071,-0.859,1.754,20
0.55,-0.428,0.338,11
0.46,-0.523,-1.04,19
0.518,-0.85,-1.66,10
0.259,-1.075,-1.494,20
-0.145,-1.209,-1.0,20
-0.544,-0.881,-0.796,10
-0.731,-0.379,-1.061,20
-0.727,-0.169,-1.61,11
-0.551,0.157,-2.173,20
-0.496,0.486,-2.3,10
-0.481,0.472,-1.795,20
-0.398,0.287,-0.926,20
-0.082,-0.224,-0.592,10
-0.04,-0.546,-0.636,20
-0.036,-0.353,-0.71,9
0.07,-0.077,-0.639,21
0.27,0.137,-0.713,19
0.209,0.261,-0.78,10
0.084,0.304,-0.908,20
0.076,0.273,-0.68,11
0.034,0.35,-0.094,20
-0.176,0.521,0.293,9
-0.227,0.573,0.505,21
0.174,0.55,1.282,19
0.639,0.736,2.395,10
0.541,0.766,2.914,21
0.176,0.379,2.795,10
-0.254,0.065,2.55,19
-0.677,0.3,2.364,10
-0.781,0.856,2.093,20
-0.634,1.046,1.746,20
-0.226,0.7,1.502,10
-0.169,-0.231,1.352,21
-0.428,-1.139,1.148,9
-0.971,-1.3,0.378,20
-1.288,-0.895,-0.797,11
-1.124,-0.219,-1.648,19
-0.598,0.285,-2.104,20
0.047,0.429,-2.169,11
0.559,0.11,-1.78,19
0.745,-0.521,-1.05,10
0.567,-0.882,-0.531,20
0.407,-1.104,-0.478,10
0.4,-1.097,-0.603,21
0.498,-0.815,-0.887,19
0.345,-0.492,-1.488,11
0.138,-0.236,-1.96,19
0.055,0.028,-2.212,11
0.05,0.301,-2.197,19
0.148,0.547,-1.84,11
0.443,0.802,-1.07,19
0.606,0.894,-0.342,21
0.304,1.115,-0.101,9
-0.07,0.969,-0.367,20
-0.27,0.493,-0.537,11
-0.45,0.271,-0.276,20
-0.439,0.175,0.337,19
-0.361,-0.083,1.061,11
-0.187,-0.419,1.748,20
-0.203,-0.653,2.021,9
-0.458,-0.726,2.061,21
-0.964,-0.205,2.061,10
-1.178,0.263,1.89,20
-0.715,0.305,2.011,19
-0.161,0.275,2.637,11
0.475,-0.2,2.787,19
0.876,-1.249,2.336,10
0.719,-1.779,1.654,20
0.13,-1.704,0.592,10
-0.124,-1.258,-0.362,22
0.198,-0.443,-1.498,18
0.833,-0.054,-1.969,10
1.095,-0.738,-1.703,21
0.778,-1.491,-1.291,10
0.149,-1.204,-1.369,19
0.41,0.053,-1.818,31
1.024,0.358,-1.188,19
1.163,0.426,-0.931,10
0.495,-0.409,-0.666,21
0.238,-0.92,-1.013,9
-0.026,-0.828,-1.153,21
-0.196,0.185,-1.141,19
0.133,0.822,-0.061,10
0.637,1.188,4.426,20
-0.046,-0.516,-1.187,11
-0.386,-2.602,-1.965,20
0.41,-1.17,-3.044,9
0.162,1.877,0.5,20
1.145,2.034,0.967,21
0.203,-0.237,0.457,10
2.217,0.682,3.031,20
-0.831,2.613,0.487,10
-3.919,1.766,-1.905,20
-0.976,2.313,1.56,20
-0.534,0.668,2.748,10
-2.17,0.153,2.715,20
-1.884,-0.62,2.271,10
0.614,-0.523,0.803,21
1.276,-0.333,-0.518,9
-0.333,-1.265,-0.259,20
-1.506,-2.035,1.386,20
-1.597,-2.59,2.385,10
-1.368,-2.365,2.319,19
-0.68,-1.577,0.984,11
-0.095,-0.454,-0.768,20
0.259,0.177,-1.864,10
0.267,0.469,-2.126,20
-0.138,0.526,-1.706,19
-0.917,0.232,-0.811,11
-1.687,0.14,-0.42,19
-1.622,0.436,-0.55,11
-0.942,0.703,-1.495,19
-0.262,0.839,-2.414,10
0.108,0.927,-2.414,20
0.304,0.8,-1.759,20
-0.105,0.789,-1.238,10
-0.715,0.883,-0.804,20
-0.85,1.001,-0.551,11
-0.558,0.901,-0.979,19
-0.433,0.88,-1.467,21
-0.252,0.723,-1.182,9
-0.296,0.513,-0.443,21
-0.335,0.22,0.152,9
-0.164,0.198,0.654,21
0.162,0.557,0.243,9
0.318,2.053,-3.124,20
-0.126,1.33,0.187,31
-0.424,0.335,1.444,19
-0.554,0.509,1.368,11
-0.361,0.975,1.197,20
-0.669,1.084,1.353,9
-0.257,1.321,1.149,21
0.388,1.119,0.999,19
-0.133,0.49,1.899,10
-0.774,-0.109,2.743,21
-0.662,-0.616,2.572,9
-0.458,-1.037,1.832,21
-0.378,-1.485,1.098,9
0.142,-1.577,0.505,21
0.714,-1.04,0.006,19
0.849,-0.247,-0.614,11
0.419,0.398,-1.311,19
0.205,0.634,-1.249,10
0.184,0.432,-1.158,20
0.338,-0.368,-0.87,20
0.029,-0.849,-0.645,10
-0.077,-1.178,-0.512,20
-0.138,-0.715,-0.736,11
-0.055,-0.437,-1.18,19
0.398,-0.117,-1.717,10
0.427,-0.105,-1.786,20
0.66,-0.095,-1.504,21
0.766,-0.051,-1.181,9
0.896,-0.011,-0.891,21
0.841,0.23,-0.905,19
0.619,0.414,-1.125,11
0.385,0.511,-1.15,9
0.484,0.184,-0.725,21
0.401,-0.006,-0.273,19
0.327,-0.109,-0.073,20
0.225,0.177,0.209,10
0.099,0.332,0.464,10
0.054,0.609,1.176,20
0.049,0.755,1.782,20
0.216,0.403,0.983,10
0.436,0.19,0.988,21
0.255,0.068,1.338,9
-0.011,0.096,1.376,20
0.092,0.396,1.376,10
0.29,0.701,1.756,20
0.192,0.424,2.27,20
0.0,-0.1,2.284,10
-0.413,-0.607,2.125,20
-1.268,-1.201,2.395,10
-1.175,-1.633,2.534,21
-0.713,-1.711,1.557,9
-0.193,-1.609,0.298,21
0.101,-1.241,-0.627,19
0.263,-0.737,-0.84,10
0.202,-0.526,-0.894,20
-0.196,-0.577,-0.908,10
-0.452,-0.795,-1.059,21
-0.511,-0.888,-1.056,10
-0.253,-0.799,-0.985,20
0.116,-0.271,-1.231,20
0.415,0.169,-1.591,10
0.58,0.394,-1.949,19
0.729,0.423,-2.064,11
0.656,0.277,-1.823,20
0.453,-0.025,-1.227,20
0.2,-0.057,-0.828,9
-0.026,0.051,-0.815,21
0.045,0.115,-1.112,9
-0.062,0.241,-1.311,21
0.012,0.286,-0.766,9
-0.091,0.154,-0.138,21
-0.151,0.173,0.289,19
0.242,0.673,0.156,10
0.321,0.985,0.072,20
0.255,1.196,-0.038,10
0.126,1.215,0.31,21
-0.265,0.99,1.14,13
-0.756,0.822,1.681,17
-0.473,0.36,1.996,19
-0.15,0.324,1.9,11
0.381,0.499,1.675,19
0.481,0.311,1.749,11
0.088,0.142,2.16,20
-0.161,-0.32,2.461,19
-0.559,-1.253,2.284,10
-0.606,-1.748,1.883,21
-0.063,-1.78,0.729,9
0.804,-1.326,-0.653,21
0.896,-0.332,-1.656,10
0.152,0.149,-1.801,19
-0.173,0.41,-1.276,20
0.085,-0.01,-1.045,10
0.111,-0.25,-1.182,20
-0.003,-0.432,-1.167,10
-0.209,-0.389,-1.188,20
-0.119,-0.419,-1.242,11
0.167,-0.239,-1.255,19
0.426,-0.146,-1.268,20
0.453,-0.131,-1.451,11
0.338,0.019,-1.478,19
0.167,0.189,-1.227,12
0.115,0.343,-1.139,18
0.138,0.377,-0.921,11
0.228,0.305,-0.691,19
0.136,0.171,-0.553,21
0.053,0.223,-0.601,9
0.048,0.304,-0.507,21
-0.025,0.239,0.198,9
-0.091,0.353,1.385,20
-0.254,0.283,2.694,20
-0.263,-0.02,1.253,10
0.072,0.05,0.645,21
-0.072,-0.023,1.063,9
-0.478,0.116,1.681,20
-0.396,0.449,1.65,11
0.056,0.715,1.83,20
0.361,0.54,2.268,19
0.152,0.313,2.351,10
-0.31,-0.027,2.392,20
-0.693,-0.576,2.428,10
-0.865,-1.036,2.151,21
-0.537,-1.242,1.384,9
-0.104,-1.153,0.246,20
0.216,-0.796,-0.847,20
0.194,-0.268,-1.348,11
-0.41,-0.276,-1.006,30
-0.266,-0.558,-1.009,19
-0.067,-0.744,-1.253,11
0.111,-0.669,-1.507,19
0.135,-0.43,-1.701,21
0.328,0.129,-1.91,9
0.605,0.53,-2.374,20
0.89,0.477,-2.55,11
1.042,0.326,-2.295,19
1.11,0.259,-1.721,20
0.964,0.164,-1.549,11
0.489,0.32,-1.635,19
0.13,0.529,-1.403,10
0.117,0.545,-1.09,21
0.519,0.18,-0.705,10
0.398,-0.285,-0.255,19
0.117,-0.257,-0.057,21
0.105,-0.334,0.465,9
-0.215,-0.128,0.315,20
0.426,0.608,-0.302,10
0.901,0.926,0.348,20
0.362,0.489,2.451,11
0.05,0.267,3.067,19
-0.402,0.137,3.312,21
-0.362,0.296,1.912,9
-0.257,0.473,1.79,21
0.32,0.115,2.852,10
0.943,-0.516,3.118,29
0.848,-1.326,2.22,10
0.143,-1.642,1.274,11
-0.215,-2.029,1.043,19
-0.228,-1.895,1.111,11
-0.067,-1.464,0.069,20
-0.474,-0.835,-0.557,9
-0.909,0.144,-0.536,20
-0.543,0.578,-1.482,30
-0.281,0.21,-1.748,21
-0.081,-0.155,-1.4,9
-0.038,-0.553,-1.502,21
-0.483,-0.429,-1.972,10
-0.71,0.44,-2.43,19
-0.605,1.362,-2.221,20
0.144,0.984,-2.068,10
0.509,0.472,-1.482,20
0.389,0.425,-1.023,11
0.075,0.692,-0.818,19
0.136,1.451,-1.494,11
0.846,0.961,-1.345,20
0.382,1.106,0.857,29
0.103,0.719,0.978,21
0.334,0.544,0.881,10
0.542,0.662,0.172,19
0.281,1.147,-0.672,21
-0.022,1.239,-0.329,9
0.048,0.46,0.772,21
0.526,0.138,1.246,9
0.266,0.607,1.915,21
0.481,0.822,2.137,9
-0.152,0.361,2.371,20
-0.999,-0.157,2.582,20
-1.209,-0.21,2.152,10
-1.123,-0.051,1.385,20
-0.907,-0.184,1.108,10
-0.885,-0.579,1.273,21
-1.004,-1.073,1.008,9
-0.834,-1.276,0.08,21
-0.716,-1.217,-1.1,20
-0.782,-0.44,-1.782,9
-0.463,0.672,-1.673,20
0.134,0.742,-1.127,11
0.569,0.082,-0.738,19
0.753,-0.305,-0.492,21
0.678,-0.378,-0.684,9
0.645,-0.443,-0.857,21
0.511,-0.295,-0.978,9
0.494,-0.128,-1.328,21
0.41,-0.012,-1.816,10
0.886,-0.045,-2.151,20
-0.063,0.062,-1.971,19
0.08,0.194,-1.912,11
0.141,0.381,-1.341,19
0.403,0.722,-0.793,14
0.673,1.098,-0.162,16
0.605,1.092,-0.077,11
0.338,0.603,-0.173,20
0.132,0.026,-0.19,19
0.256,0.195,0.276,11
0.3,0.59,0.938,23
0.476,0.841,1.672,7
0.705,0.515,2.056,19
0.462,0.016,1.954,11
0.14,-0.019,1.896,20
-0.356,0.257,1.5,20
-0.769,0.749,0.867,10
-0.45,0.846,0.574,20
